VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesQuantity,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio,PurchaseContribution%,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.6,5101919.51,142049.0,672819.31,260999.19999999998,68601.68,1290667.9099999997,25.297692514949137,0.9791080783016267,1.3386467348416462,1.1839833911935211,26.27,Large,79624.37
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.22,4819073.49,160247.0,561512.37,294438.66,144929.24,1015032.27,21.062809523579187,0.9768895012131336,1.2668299871892554,1.181743452438443,23.19,Large,87913.29000000001
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.68,4538120.6,187140.0,461140.14999999997,343854.07,123780.22,1119816.9199999995,24.67578583081286,0.9985752933454993,1.3275943347432488,1.061912255589658,18.240000000000002,Large,4870.08
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94,4475972.88,200412.0,420050.00999999995,368242.8,257032.07,1214774.94,27.139908408024134,0.9937029581221923,1.3724934709114895,1.013106612104676,16.169999999999998,Large,20535.9
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.01,4223107.62,135838.0,545778.28,249587.83,257032.07,1199901.6100000003,28.41276420040653,0.9835564662693959,1.3968970708681545,0.9391732899492738,21.889999999999997,Large,49712.19
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.93,3383912.4,141860.0,446932.08999999997,111699.19,89286.27,917276.4699999997,27.106980369822804,1.0219798428055817,1.3718734730341822,0.7662721540716926,17.77,Large,-54216.27
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.08,2773367.73,69627.0,614529.3400000001,127931.67,123780.22,596082.6499999999,21.493098212403297,0.9836683949535906,1.2737733590678901,0.6763839397570753,30.76,Large,35558.560000000005
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.84,2592041.35,148265.0,292586.29,272422.6,257032.07,503706.51,19.43281151745515,0.9186980283295949,1.2412000701956396,0.6487511256960258,12.940000000000001,Large,169785.74
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.55,2640491.19,90481.0,503661.01999999996,166244.44,257032.07,736751.6399999999,27.902067720968233,0.9852561659498013,1.3870023291789046,0.5914057230853581,20.73,Large,28068.420000000002
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.14,2435393.39,107061.0,426902.77999999997,196707.35,123880.97,661966.2500000002,27.18108099981335,0.9834199842007606,1.3732694933269152,0.5509235546799973,16.29,Large,29403.449999999997
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1,2148965.53,91247.0,436011.63999999996,71840.56999999999,123780.22,618539.4299999997,28.78312478097309,0.9789925433184915,1.4041615795757794,0.47543412873846347,16.42,Large,32150.360000000004
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.96,1840615.67,61433.0,442856.19999999995,112875.19,257032.07,342453.70999999996,18.605389250000247,0.917704878850348,1.2285825692704144,0.465411120577275,22.38,Large,123291.42
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001,1478001.42,2189368.78,70122.0,495957.83,128839.08,89286.27,711367.3599999999,32.49189293728761,1.0162461413602701,1.4813035700601693,0.45914815317898183,21.419999999999998,Large,-24011.820000000003
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668,1460072.3599999999,2326007.78,214238.0,189608.96,24083.77,17587.59,865935.4199999999,37.2283974045865,0.9933694382105829,1.59307705818087,0.4535784056294598,6.77,Large,9681.099999999999
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951,1452173.31,2009508.61,41639.0,662320.04,32783.09,68054.7,557335.3,27.734904803418587,0.9694535633629019,1.3837939288389758,0.4511245282716366,33.81,Large,44358.72
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596,1414552.92,1739044.28,28372.0,507291.43,52133.72,257032.07,324491.3600000001,18.659177556997,0.897961767312318,1.2293949949924816,0.439437575636386,44.769999999999996,Large,144338.48
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645,1399080.15,1844950.29,59771.0,504735.06,109817.06999999999,123780.22,445870.14000000013,24.167054387140162,0.9855882595432435,1.3186880608662772,0.4346308862286972,23.069999999999997,Large,20163.18
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249,1396130.77,2068091.16,65184.0,494487.65,119767.49,257032.07,671960.3899999999,32.49181675337754,1.0145527556849134,1.4813018983887876,0.4337146473390059,21.73,Large,-20317.55
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546,1373128.48,1884307.34,47966.0,596574.93,88129.8,257032.07,511178.8600000001,27.128210411789834,1.0088335506667228,1.3722731466468456,0.4265688768211484,28.88,Large,-12129.6
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078,1317439.48,1635666.58,79042.0,121065.24999999999,145234.95,257032.07,318227.1000000001,19.455499298640685,0.9995447532815701,1.2415496915273863,0.40926882476681126,16.66,Large,599.76
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.62,1766391.1199999999,56888.0,460087.95,104524.54,89286.27,482920.49999999977,27.339386760504087,0.9919614988927444,1.3762614371336368,0.39871623724994987,22.380000000000003,Large,10317.18
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277758.76,1699669.55,32945.0,589137.79,60533.43,89286.27,421910.79000000004,24.823106938639928,0.9867317599137415,1.3301959675079824,0.39694182084227353,38.27,Large,16953.61
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936,1208990.72,1528730.27,61323.0,392353.54,112669.45,18544.49,319739.55000000005,20.91536723479676,0.9901026866442779,1.264468159027722,0.3755787029612783,19.52,Large,11965.76
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205942.92,1736610.87,58013.0,294049.49,60913.65,89286.27,530667.9500000002,30.557677552715084,0.9688533351147333,1.4400440030776915,0.3746318894316547,20.139999999999997,Large,37561.1
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480,1193404.8,1624366.6199999999,98938.0,306439.94,181782.13,123880.97,430961.81999999983,26.531068460394724,0.9749507292077256,1.3611195631189013,0.3707368629692739,11.76,Large,29893.92
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473,1190145.33,1554498.4,94960.0,307670.2,174471.93,123880.97,364353.06999999983,23.438626247540675,0.9742185015337581,1.3061416625480518,0.36972429314992805,12.21,Large,30683.730000000003
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088,1163442.72,1549701.9,58610.0,431497.81,107685.03,38994.78,386259.17999999993,24.924740687225068,0.9919103709721094,1.331996731218534,0.3614290006687079,19.69,Large,9411.82
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389,1106876.61,1657809.59,77041.0,342678.85,141551.61,89286.27,550932.98,33.2325849315421,1.0085352603123487,1.4977365814966492,0.3438564702316133,14.490000000000002,Large,-9447.48
